,tconst,primaryTitle,titleFR,Cluster_15
140,tt0011499,Mästerman,Maître Samuel,1
141,tt0011507,Narayana,Narayana,13
142,tt0011522,Nurse Marjorie,La jolie infirmière,0
143,tt0011525,The Great Cattle War,La Guerre des boeufs,1
144,tt0011530,An Old Fashioned Boy,Un garçon vieux-jeu,7
145,tt0011549,Over the Hill to the Poorhouse,Maman,6
146,tt0011565,The Penalty,Satan,6
147,tt0011588,Pollyanna,Pollyanna,0
148,tt0011607,The Parson's Widow,La quatrième alliance de Dame Marguerite,0
149,tt0011612,Quatre-vingt-treize,93,1
150,tt0011619,Remodeling Her Husband,L'arène conjugale,4
151,tt0011623,The Restless Sex,Les incomprises,1
152,tt0011624,The Revenge of Tarzan,Le retour de Tarzan,9
153,tt0011647,The Round-Up,"Fatty, l'intrépide shériff",0
154,tt0011651,Sand,Son meilleur ami,1
155,tt0011652,The Saphead,Ce crétin de Malec,4
156,tt0011654,Satanas,Satanas,8
157,tt0011679,Sex,Expiation,1
158,tt0011692,The Sign on the Door,Le signe sur la porte,1
159,tt0011716,Something to Think About,L'amour a-t-il un maître?,1
160,tt0011723,The Spiders - Episode 2: The Diamond Ship,Les araignées - Le cargo d'esclaves,9
161,tt0011741,Suds,Rêve et réalité,7
162,tt0011742,Sumurun,Sumurun,5
163,tt0011765,Thora van Deken,Dureté d'âme,1
164,tt0011779,The Toll Gate,Son dernier exploit,5
165,tt0011785,Treasure Island,L'île au trésor,9
166,tt0011805,Under Crimson Skies,La bâillon,9
167,tt0011830,The Virgin of Stamboul,La vierge de Stamboul,1
168,tt0011833,From Morn to Midnight,De l'aube à minuit,6
169,tt0011837,The Wandering Image,L'image vagabonde,8
170,tt0011841,Way Down East,À travers l'orage,8
171,tt0011855,While New York Sleeps,Les nuits de New York,6
172,tt0011865,Why Change Your Wife?,L'échange,0
173,tt0011870,Within Our Gates,Within Our Gates,8
174,tt0011886,Wuthering Heights,Haine implacable,1
175,tt0011890,Yes or No,Oui ou non,1
176,tt0011904,The Ace of Hearts,La carte fatale,10
177,tt0011906,Action,Une excellente affaire,1
178,tt0011908,Adventures of Tarzan,Les aventures de Tarzan,9
179,tt0011909,The Affairs of Anatol,Le coeur nous trompe,0
180,tt0011912,After the Show,Le vieux comédien,1
181,tt0011918,All Souls' Eve,Nos chers disparus,1
182,tt0011944,The Barbarian,Les drames de l'Alaska,1
183,tt0011948,Be My Wife,Soyez ma femme,4
184,tt0011960,The Wildcat,La chatte des montagne,7
185,tt0011968,The Big Punch,Un homme libre,1
186,tt0011969,Big Town Ideas,Ginette détective par amour,4
187,tt0011973,Black Beauty,Beauté noire,1
188,tt0011990,The Bonnie Brier Bush,La terre qui chante,1
189,tt0011998,Brewster's Millions,Les millions de Fatty,4
190,tt0012016,Buried Treasure,Le pirate,5
191,tt0012027,Camille,La dame aux camélias,8
192,tt0012028,Cappy Ricks,Les aventures du Capitaine Barclay,9
193,tt0012045,The Child Thou Gavest Me,Son enfant,1
194,tt0012068,The Conquering Power,Eugénie Grandet,8
195,tt0012077,Crazy to Marry,Fatty veut se marier,4
196,tt0012087,Dangerous Lies,La maison du mensonge,1
197,tt0012092,Danton,Danton,1
198,tt0012114,The Dollar-a-Year Man,Fatty détective amateur,4
199,tt0012117,Don't Tell Everything,Faut-il avouer?,7
200,tt0012122,Dream Street,La rue des rêves,7
201,tt0012125,Ducks and Drakes,La mauvaise brebis,7
202,tt0012134,Eldorado,El Dorado,1
203,tt0012136,Enchantment,Enchantement,4
204,tt0012181,Fool's Paradise,Le paradis d'un fou,8
205,tt0012187,Forbidden Fruit,Le fruit défendu,1
206,tt0012190,The Four Horsemen of the Apocalypse,Les quatre cavaliers de l'apocalypse,10
207,tt0012202,Gasoline Gus,Fatty fait de l'auto,4
208,tt0012227,Godless Men,La galère infernale,1
209,tt0012238,The Great Moment,L'heure suprême,1
210,tt0012248,Hail the Woman,Respectez la femme,1
211,tt0012249,Hamlet,Hamlet,1
212,tt0012281,Hintertreppe,L'escalier de service,1
213,tt0012322,The Iron Trail,Le triomphe du rail,9
214,tt0012328,Jackie,Le coeur de Janette,8
215,tt0012334,Johan,À travers les rapides,1
216,tt0012349,The Kid,Le Kid,0
217,tt0012364,The Phantom Carriage,La charrette fantôme,1
218,tt0012365,Labyrinth of Horror,Les chemins de la terreur,1
219,tt0012380,Circus Jim,Le cirque Jim,8
220,tt0012382,Leap Year,"Tu trembles, Fatty",4
221,tt0012397,Little Lord Fauntleroy,Le petit Lord Fauntleroy,1
222,tt0012398,The Little Minister,Endiablée,1
223,tt0012408,The Love Light,Le signal de l'amour,1
224,tt0012422,En lyckoriddare,Le chevalier errant,1
225,tt0012427,Madame Peacock,L'Orgueilleuse,1
226,tt0012445,Man-Woman-Marriage,Vox femina,1
227,tt0012468,Molly O',Rêve de seize ans,4
228,tt0012486,My Boy,Mon gosse,0
229,tt0012494,Destiny,Les trois lumières,6
230,tt0012513,The Nut,L'excentrique,7
231,tt0012520,The Old Swimmin' Hole,La petite baignade,4
232,tt0012529,One a Minute,La poudre miraculeuse,4
233,tt0012532,Orphans of the Storm,Les deux orphelines,8
234,tt0012538,Outside the Law,Les révoltés,10
235,tt0012548,Parisette,Parisette,1
236,tt0012555,Passion Flower,Dolorès,1
237,tt0012563,Peck's Bad Boy,Le gosse infernal,4
238,tt0012600,The Queen of Sheba,La glorieuse Reine de Saba,5
239,tt0012642,A Sailor-Made Man,Marin malgré lui,4
240,tt0012650,Scherben,Le rail,1
241,tt0012651,The Haunted Castle,La découverte d'un secret,6
242,tt0012657,The Sea Lion,Les chasseurs de baleines,5
243,tt0012675,The Sheik,Le cheik,5
244,tt0012685,The Silent Call,Hurle à la mort,9
245,tt0012701,A Small Town Idol,L'idole du village,7
246,tt0012745,La terre,La terre,1
247,tt0012752,The Three Musketeers,Les trois mousquetaires,5
248,tt0012754,Three Word Brand,L'homme marqué,1
249,tt0012755,Through the Back Door,Par l'entrée de service,0
250,tt0012763,Tol'able David,Le coeur sur la main,1
251,tt0012769,Too Wise Wives,Deux femmes trop sages,1
252,tt0012771,Torgus,Torgus,1
253,tt0012806,Vier um die Frau,Quatre hommes pour une femme,1
254,tt0012807,Give Me My Son,Son Fils,1
255,tt0012814,Voices of the City,Le Prince des ténèbres,6
256,tt0012815,Värmlänningarna,Les gens du Warmland,8
257,tt0012839,The Whistle,Sa Haine,8
258,tt0012877,Across the Continent,Cent à l'heure,2
259,tt0012898,Anna Ascends,L'émigrée,8
260,tt0012926,The Beautiful and Damned,La bourrasque,1
261,tt0012928,Beauty's Worth,Régina,8
262,tt0012938,Beyond the Rocks,Le droit d'aimer,8
263,tt0012949,A Blind Bargain,Rival des Dieux,8
264,tt0012952,Blood and Sand,Arènes sanglantes,8
265,tt0012960,The Bonded Woman,La caution,5
266,tt0012961,Boomerang Bill,Un fier gueux,9
267,tt0012973,The Burning Soil,La terre qui flambe,1
268,tt0012975,The Bride's Play,Roxelane,8
269,tt0012980,Broken Chains,La chaîne brisée,5
270,tt0013024,Conquering the Woman,La conquête d'une femme,8
271,tt0013033,Crainquebille,Crainquebille,1
272,tt0013034,The Crimson Challenge,La justicière,5
273,tt0013059,Der var engang,Il était une fois,1
274,tt0013075,Dr. Jack,Et puis ça va,7
275,tt0013084,Doubling for Romeo,À la manière de Roméo,4
276,tt0013085,Down to the Sea in Ships,Le harpon,5
277,tt0013086,Dr. Mabuse the Gambler,Mabuse le démon du crime,12
278,tt0013093,East Is West,Roman chinois,7
279,tt0013109,The Face in the Fog,Le visage dans le brouillard,12
280,tt0013110,Fair Lady,Le sceau de Cardi,5
281,tt0013118,Os Faroleiros,Os Faroleiros,1
282,tt0013122,The Woman from Nowhere,La femme de nulle part,1
283,tt0013134,Flesh and Blood,Coeur de Père,1
284,tt0013139,A Fool There Was,Envoûté (2ième partie de 'L'amour qui tue),1
285,tt0013140,Foolish Wives,Folies de femmes,6
286,tt0013145,Forget Me Not,L'enfant sacrifiée,1
287,tt0013169,Die Gezeichneten,Aimez-vous les uns les autres,1
288,tt0013170,The Ghost Breaker,La fin des fantômes,4
289,tt0013182,The Glorious Adventure,La glorieuse aventure,9
290,tt0013201,Grandma's Boy,Le talisman de Grand-mère,0
291,tt0013229,Her Gilded Cage,La cage dorée,8
292,tt0013230,Her Husband's Trademark,Inconscience,1
293,tt0013251,The Hottentot,Olympic 13 gagnant,4
294,tt0013253,Human Hearts,Le coeur humain,1
295,tt0013254,Hungry Hearts,Le crime de Mme Lévy,8
296,tt0013255,Hurricane's Gal,Jalousie,9
297,tt0013257,Häxan,La sorcellerie à travers les âges,3
298,tt0013263,Im Kampf mit dem Berge - 1. Teil: In Sturm und Eis - Eine Alpensymphonie in Bildern,A l'assaut de la montagne - Dans la tempête et la glace,3
299,tt0013264,The Impossible Mrs. Bellew,Le calvaire de Mme Mallory,1
300,tt0013284,Just Tony,Centaure,5
301,tt0013288,The Kentucky Derby,Un derby sensationnel,9
302,tt0013292,Kindled Courage,Héros sans le savoir,1
303,tt0013301,Kärlekens ögon,Les yeux de l'amour,10
304,tt0013332,Lorna Doone,Lorna Doone,8
305,tt0013336,Love's Boomerang,Perpétua,6
306,tt0013342,Lucrezia Borgia,Lucrèce Borgia,6
307,tt0013363,The Man Who Played God,La raison de vivre,1
308,tt0013367,The Man from Beyond,L'homme de l'au-delà,12
309,tt0013372,Manslaughter,Le réquisitoire,1
310,tt0013386,Merry-Go-Round,Chevaux de bois,1
311,tt0013402,Monte Cristo,Le Comte de Monte Cristo,8
312,tt0013404,Moran of the Lady Letty,Morane le marin,9
313,tt0013417,My American Wife,La Dictatrice,1
314,tt0013427,Nanook of the North,Nanouk l'Esquimau,3
315,tt0013428,Nathan der Weise,Nathan le sage,1
316,tt0013433,Nice People,Des gens très bien,7
317,tt0013442,Nosferatu,Nosferatu le vampire,13
318,tt0013450,Oliver Twist,Oliver Twist,1
319,tt0013452,The House Surrounded,La maison cernée,1
320,tt0013455,On the High Seas,Perdus sur l'océan,5
321,tt0013458,One Exciting Night,La nuit mystérieuse,7
322,tt0013469,Othello,Othello,8
323,tt0013488,Peg o' My Heart,Peg de mon coeur,0
324,tt0013496,Phantom,Le fantôme,8
325,tt0013501,Polikushka,Polikouchka,1
326,tt0013511,The Pride of Palomar,Le dernier des Don Farel,1
327,tt0013515,The Prisoner of Zenda,Le roman d'un Roi,5
328,tt0013535,Real Adventure,Émancipée,1
329,tt0013556,Robin Hood,Robin des Bois,5
330,tt0013571,Salomé,Salomé,11
331,tt0013574,Saturday Night,Le détour,7
332,tt0013579,Warning Shadows,Le montreur d'ombres,1
333,tt0013592,Shadows,Le repentir,1
334,tt0013597,Sherlock Holmes,Sherlock Holmes contre Moriarty,8
335,tt0013603,Silver Wings,Le foyer qui s'éteint,1
336,tt0013607,Sky High,L'aigle,10
337,tt0013611,Smilin' Through,La victoire du coeur,1
338,tt0013619,Sodom und Gomorrha,Le sixième commandement,1
339,tt0013624,The Song of Love,Fleur des sables,1
340,tt0013629,The Spanish Jade,Sous le soleil d'Espagne,1
341,tt0013662,Tess of the Storm Country,Tess au pays des haines,8
342,tt0013672,Three Live Ghosts,Les trois revenants,4
343,tt0013674,The Three Must-Get-Theres,L'étroit mousquetaire,5
344,tt0013679,Tillie,Le roman de cousine Laure,1
345,tt0013688,The Toll of the Sea,Fleur de Lotus,1
346,tt0013704,The Trap,Tu ne tueras point,1
347,tt0013710,Trifling Women,Le Suprême Rendez-vous,8
348,tt0013713,Trouble,Chagrin de gosse,0
349,tt0013716,Turn to the Right,Les bons larrons,0
350,tt0013727,The Valley of Silent Men,Le mystère de la vallée blanche,10
351,tt0013728,Vanina,La noce au pied de la potence,1
352,tt0013730,Vem dömer,L'épreuve du feu,1
353,tt0013735,The Village Blacksmith,Le forgeron du village,8
354,tt0013741,The Loves of Pharaoh,La femme du Pharaon,1
355,tt0013750,When Knighthood Was in Flower,Sur les marches d'un trône,8
356,tt0013766,Wild Honey,Viviane,5
357,tt0013800,The Young Diana,Jeunesse,1
358,tt0013802,The Young Rajah,Le jeune rajah,8
359,tt0013817,Adam's Rib,La rançon d'un trône,1
360,tt0013824,All the Brothers Were Valiant,La force du sang,5
361,tt0013825,All for Money,Tout pour l'or,1
362,tt0013830,This Ancient Law,L'évasion de Baruch,1
363,tt0013841,Ashes of Vengeance,Cendres de vengeance,1
364,tt0013846,The Red Inn,L'auberge rouge,1
365,tt0013868,La belle Nivernaise,La belle Nivernaise,1
366,tt0013877,Bluebeard's 8th Wife,La huitième femme de Barbe-Bleue,7
367,tt0013886,Brass,La première femme,8
368,tt0013892,The Bright Shawl,Le châle aux fleurs de sang,5
369,tt0013906,The Call of the Canyon,L'appel de la vallée,1
370,tt0013909,Cameo Kirby,L'homme aux camées,1
371,tt0013920,The Cheat,La flétrissure,1
372,tt0013926,Circus Days,L'enfant du cirque,0
373,tt0013933,The Faithful Heart,Coeur fidèle,8
374,tt0013951,The Covered Wagon,La caravane vers l'Ouest,5
375,tt0013965,Daddy,P'tit père,1
376,tt0014003,Drifting,La marchande de rêves,1
377,tt0014014,The Hell Ship,Le vaisseau tragique,8
378,tt0014021,Enemies of Women,Les ennemis de la femme,8
379,tt0014023,The Eternal City,La ville éternelle,6
380,tt0014031,The Face on the Bar-Room Floor,L'image aimée,1
381,tt0014068,Fury,Le vengeur,9
382,tt0014069,Paris Urchin,Le gamin de Paris,4
383,tt0014100,The Green Goddess,La Déesse rouge,9
384,tt0014108,The Blizzard,Le vieux manoir,1
385,tt0014109,The Saga of Gösta Berling,La légende de Gösta Berling,8
386,tt0014137,Hollywood,Hollywood,4
387,tt0014138,Homeward Bound,Le Dernier Voyage du Nancy B,5
388,tt0014142,The Hunchback of Notre Dame,Quasimodo,8
389,tt0014144,Iron Wills,La faute d'un autre,4
390,tt0014146,Crown of Thorns,I.N.R.I.,1
391,tt0014158,The Isle of Lost Ships,L'île des navires perdus,1
392,tt0014164,Jazzmania,La folie du jazz,1
393,tt0014165,Jealous Husbands,Les deux gosses,1
394,tt0014168,Johan Ulfstjerna,Vox Populi,2
395,tt0014171,Der junge Medardus,Le jeune Médard ou Pour l'honneur,3
396,tt0014174,Karusellen,La Cible vivante,1
397,tt0014181,Kiri no minato,Le port des brumes,1
398,tt0014189,Law of the Lawless,Justice de Tziganes,1
399,tt0014191,Die Lawine,L'avalanche,1
400,tt0014202,Little Church Around the Corner,Après la tempête,1
401,tt0014211,Long Live the King,Le Petit Prince,1
402,tt0014223,"Love, Life and Laughter",Roses de Piccadilly,8
403,tt0014229,Lucretia Lombard,L'embrasement,1
404,tt0014239,Main Street,La rue des vipères,1
405,tt0014258,The Marriage Maker,Spring Magic,8
406,tt0014301,Malar Pirates,Les pirates du lac Maëlar,4
407,tt0014302,Name the Man!,Le Glaive de la loi,1
408,tt0014321,North of Hudson Bay,Vers la mort,5
409,tt0014323,The Village Shoemakers,Les cordonniers de la paroisse,0
410,tt0014341,Our Hospitality,Les lois de l'hospitalité,7
411,tt0014358,The Pilgrim,Le pélerin,4
412,tt0014359,Pioneer Trails,Les pionniers du Far-West,1
413,tt0014379,Prodigal Daughters,Les femmes libres,10
414,tt0014397,Crime and Punishment,Raskolnikoff,1
415,tt0014408,Richard the Lion-Hearted,L'esprit de chevalerie,1
416,tt0014416,Rosita,"Rosita, chanteuse des rues",7
417,tt0014417,The Wheel,La roue,1
418,tt0014429,Safety Last!,Monte là-dessus!,4
419,tt0014439,Sawdust,L'enfant de la balle,1
420,tt0014440,Scaramouche,Scaramouche,8
421,tt0014446,The Treasure,Le trésor,8
422,tt0014447,Schlagende Wetter,Grisou,6
423,tt0014462,Shifting Sands,La tempête dans le désert,5
424,tt0014463,The Shock,La terre a tremblé,1
425,tt0014467,The Shriek of Araby,Le chic cheik,4
426,tt0014469,The Silent Command,Sa patrie,1
427,tt0014496,Soul of the Beast,L'Âme de la bête,5
428,tt0014497,Souls for Sale,Âmes à vendre,7
429,tt0014499,The Spanish Dancer,La danseuse Espagnole,8
430,tt0014502,The Spider and the Rose,L'araignée et la rose,5
431,tt0014509,Der steinerne Reiter,La cavalier de pierre,1
432,tt0014510,Stephen Steps Out,La première aventure de Douglas Fairbanks Junior,4
433,tt0014516,The Street,La rue,1
434,tt0014522,Suzanna,Suzanna,4
435,tt0014524,New Year's Eve,La nuit de la Saint-Sylvestre,1
436,tt0014528,The Temple of Venus,Le temple de Vénus,8
437,tt0014532,The Ten Commandments,Les dix commandements,11
438,tt0014538,Three Ages,Les trois âges,4
439,tt0014539,Three Jumps Ahead,En trombe,1
440,tt0014542,Three Wise Fools,La sagesse des trois vieux fous,4
441,tt0014543,The Thrill Chaser,"Une cruche, une miche... et toi!",5
442,tt0014547,Tiger Rose,La tigresse,1
443,tt0014553,To the Last Man,Jusqu'au dernier homme,1
444,tt0014577,Der verlorene Schuh,Cendrillon,13
445,tt0014586,Waxworks,Le cabinet des figures de cire,13
446,tt0014602,While Paris Sleeps,Dans la ville endormie,14
447,tt0014604,The White Rose,La rose blanche,8
448,tt0014605,The White Sister,Dans les laves du Vésuve,8
449,tt0014606,White Tiger,Les fauves,10
450,tt0014611,Why Worry?,Faut pas s'en faire,5
451,tt0014615,Wild Bill Hickok,La Dernière Chevauchée,1
452,tt0014619,Within the Law,A l'abri des lois,1
453,tt0014624,A Woman of Paris: A Drama of Fate,L'opinion publique,8
454,tt0014636,Zaza,Zaza,8
455,tt0014651,The Age of Innocence,La Comtesse Olenska,1
456,tt0014672,America,Pour l'indépendance,6
457,tt0014679,The Arab,L'Arabe,1
458,tt0014720,Black Lightning,Coeur de chien,5
459,tt0014733,A Boy of Flanders,L'enfant des Flandres,1
460,tt0014752,Butterfly,La papillonne,8
461,tt0014760,Captain January,Miss Capitaine,1
462,tt0014767,Changing Husbands,Souvent femme varie,4
463,tt0014774,Circe the Enchantress,Circé,1
464,tt0014782,Code of the Sea,Marins,1
465,tt0014836,The Dawn of a Tomorrow,Les affamés,6
466,tt0014854,Dorothy Vernon of Haddon Hall,Dorothy Vernon de Haddon Hall,8
467,tt0014892,The Fighting Coward,Le Capitaine Blake !,4
468,tt0014898,Whirlpool of Fate,La fille de l'eau,8
469,tt0014900,Finances of the Grand Duke,Les finances du Grand-Duc,4
470,tt0014925,Forbidden Paradise,Paradis défendu,4
471,tt0014931,La galerie des monstres,La baraque des monstres,1
472,tt0014945,Girl Shy,Ça t'la coupe!,7
473,tt0014946,The Girl in the Limousine,Une biche et quarante chevaux,4
474,tt0014953,The Good Bad Boy,Âme de gosse,1
475,tt0014968,Happiness,Le bonheur en ménage,4
476,tt0014972,HE Who Gets Slapped,Larmes de clown,10
477,tt0014981,Her Love Story,Les larmes de la reine,8
478,tt0014982,Her Night of Romance,Mon coeur et mes millions,7
479,tt0014985,A Hero for a Night,Plus fort que Lindbergh,4
480,tt0014991,His Hour,Son heure,1
481,tt0015002,Hot Water,Une riche famille,4
482,tt0015004,The Humming Bird,Les loups de Montmartre,1
483,tt0015014,L'inhumaine,L'inhumaine,5
484,tt0015015,Into the Net,Le Repaire de la porte d'enfer,6
485,tt0015016,The Iron Horse,Le cheval de fer,8
486,tt0015022,Janice Meredith,Janice Meredith,8
487,tt0015036,Edmund Kean: Prince Among Lovers,Kean ou Désordre et génie,1
488,tt0015038,The King of Wild Horses,"Rex, le cheval démon",1
489,tt0015039,Kino Eye,Ciné oeil - La vie à l'improviste,3
490,tt0015051,The Last Man on Earth,Le dernier homme sur terre,4
491,tt0015053,Laughing at Danger,L'Amérique l'a échappé belle,5
492,tt0015064,The Last Laugh,Le dernier rire,1
493,tt0015068,The Lighthouse by the Sea,Le phare qui s'éteint,1
494,tt0015074,Little Robinson Crusoe,Le Petit Robinson Crusoë,4
495,tt0015104,Mademoiselle Midnight,Mademoiselle minuit,4
